order_id,customer_id,book_id,order_date,quantity,total_amount
127,116,471,2024-09-11,3,94.03
128,409,6,2023-01-16,6,239.46
129,73,4,2024-04-18,10,231.27
130,123,279,2024-04-23,3,30.63
131,430,168,2024-07-15,5,120.04
132,110,399,2023-12-30,5,166.12
133,347,401,2023-02-03,3,30.45
134,475,302,2024-03-10,9,479.53
135,146,19,2024-03-05,2,55.57
136,341,75,2023-02-28,8,152.53
137,84,19,2024-11-02,1,15.92
138,15,18,2024-11-04,2,27.43
139,1,484,2024-03-05,6,128.94
140,190,63,2024-08-18,9,530.59
141,401,464,2023-03-31,8,215.69
142,354,156,2024-10-18,8,139.94
143,458,279,2023-04-02,4,46.54
144,193,435,2023-06-23,10,475.16
145,21,35,2024-11-01,8,333.94
146,78,265,2023-08-06,4,132.33
147,379,327,2024-02-07,2,28.64
148,74,389,2024-02-07,2,102.05
149,32,310,2023-07-23,6,255.63
150,168,116,2023-09-08,5,76.92
151,440,417,2023-05-12,4,94.28
152,448,332,2023-10-25,4,58.19
153,2,34,2024-07-23,9,96.25
154,75,186,2023-04-12,10,291.31
155,456,133,2024-08-17,8,165.61
156,401,439,2023-03-30,9,366.69
157,429,255,2024-09-27,1,13.39
158,167,107,2023-01-09,4,88.76
159,21,434,2024-05-19,9,529.46
160,49,482,2023-11-22,8,426.78
161,142,141,2024-07-18,9,361.70
162,109,354,2023-12-04,7,103.98
163,369,281,2023-09-11,7,228.15
164,286,105,2024-07-19,9,409.68
165,187,128,2023-07-29,5,209.74
166,284,294,2024-08-16,8,164.18
167,395,492,2024-03-29,2,62.08
168,348,35,2023-05-09,7,242.12
169,397,63,2024-05-02,3,106.59
170,116,177,2024-05-12,6,219.55
171,372,118,2024-11-17,4,157.30
172,411,141,2024-03-30,9,484.10
173,374,285,2023-04-14,2,30.00
174,408,76,2023-01-23,6,237.04
175,456,67,2023-09-19,8,187.83
176,269,93,2024-03-17,2,82.61
177,67,248,2023-12-01,7,234.10
178,460,225,2023-10-03,10,124.54
179,60,331,2024-08-29,9,285.70
180,26,477,2024-12-08,2,23.81
181,367,63,2024-01-04,7,218.33
182,96,5,2023-10-28,10,225.79
183,300,273,2023-06-21,9,372.07
184,167,392,2024-08-11,6,342.85
185,240,437,2024-12-09,1,57.00
186,480,481,2024-02-01,9,387.52
187,60,239,2024-08-23,5,64.23
188,174,34,2023-07-13,3,138.73
189,187,107,2024-03-11,7,196.92
190,322,239,2023-06-07,7,275.91
191,294,392,2024-04-21,1,53.15
192,156,4,2024-07-17,1,37.23
193,47,185,2024-02-12,1,39.49
194,274,48,2024-03-17,5,184.50
195,191,146,2023-05-30,2,107.39
196,275,37,2023-12-22,2,117.58
197,229,376,2024-07-07,5,208.12
198,266,199,2023-07-15,10,412.40
199,354,277,2024-03-13,10,527.29
200,106,292,2024-12-14,6,264.99
201,420,168,2024-07-02,5,76.29
202,39,309,2023-06-13,8,255.74
203,485,16,2023-12-10,9,535.23
204,238,19,2023-12-05,5,67.53
205,367,39,2024-06-17,3,26.77
206,414,78,2024-11-08,7,67.39
207,140,421,2023-05-07,2,78.53
208,100,466,2023-09-19,6,215.05
209,474,233,2023-12-03,1,52.04
210,89,159,2023-11-16,2,77.03
211,401,389,2023-10-25,4,164.18
212,438,431,2024-03-18,5,261.70
213,400,438,2024-01-22,10,553.09
214,33,377,2023-03-29,10,588.73
215,412,374,2024-07-14,2,20.11
216,344,55,2024-12-14,2,54.00
217,290,362,2023-05-13,10,428.46
218,18,106,2024-07-04,6,302.70
219,453,66,2024-03-12,5,242.06
220,433,256,2023-07-02,10,205.73
221,438,51,2024-01-09,5,278.36
222,405,51,2024-06-07,7,190.78
223,434,499,2024-05-26,6,132.36
224,247,294,2024-10-07,1,18.26
225,125,486,2023-01-07,6,164.64
226,330,62,2024-01-05,7,378.83
227,152,271,2023-11-15,4,198.85
228,452,336,2023-11-25,9,236.38
229,477,353,2023-07-05,5,123.66
230,339,26,2023-04-01,3,123.81
231,113,29,2024-02-25,8,433.04
232,53,482,2023-02-07,10,490.60
233,45,372,2024-07-25,9,388.11
234,454,243,2023-08-10,1,34.09
235,341,119,2024-10-08,1,33.14
236,158,229,2023-05-28,2,75.40
237,79,467,2024-07-12,3,61.58
238,253,111,2024-12-10,2,111.30
239,159,31,2024-08-27,10,255.22
240,209,431,2024-12-16,10,447.03
241,384,339,2024-02-08,3,137.85
242,144,314,2024-02-12,3,30.97
243,122,10,2023-05-05,6,170.52
244,247,27,2024-05-11,7,88.07
245,160,138,2024-11-07,2,73.68
246,320,360,2023-09-05,5,50.50
247,96,159,2024-03-29,1,52.14
248,359,468,2024-11-28,3,36.87
249,334,253,2023-05-03,8,279.25
250,404,380,2024-09-04,2,22.59
251,249,15,2023-09-19,7,359.61
252,404,26,2023-09-16,1,40.02
253,90,497,2024-02-25,6,220.41
254,249,135,2023-10-15,2,54.01
255,113,383,2024-05-28,9,403.82
256,60,460,2024-11-16,9,270.52
257,428,28,2023-04-21,3,99.52
258,403,88,2024-07-07,3,137.88
259,348,369,2023-01-26,1,46.29
260,64,316,2024-05-02,2,76.46
261,405,293,2023-04-27,7,264.48
262,492,496,2024-12-29,1,42.20
263,9,228,2023-06-20,4,168.57
264,293,93,2023-05-16,2,107.52
265,377,267,2023-03-05,9,392.85
266,257,372,2024-07-16,4,136.53
267,277,130,2024-06-09,1,57.00
268,56,101,2023-02-25,6,183.54
269,314,265,2023-05-12,1,20.74
270,351,191,2024-08-11,7,172.44
271,494,156,2023-07-06,6,170.76
272,282,199,2024-08-30,4,47.26
273,74,116,2024-11-25,10,436.13
274,492,430,2024-07-11,9,436.05
275,498,342,2024-03-11,10,127.03
276,92,176,2023-05-12,7,93.46
277,304,310,2023-05-05,8,140.93
278,70,180,2024-10-07,8,386.31
279,101,442,2024-09-22,5,93.43
280,365,81,2023-04-18,10,583.49
281,83,458,2024-05-04,4,46.71
282,379,323,2024-10-29,5,133.32
283,122,381,2023-03-16,6,59.04
284,446,110,2023-05-11,3,62.85
285,19,118,2024-03-08,4,99.41
286,493,201,2023-11-18,3,112.87
287,276,388,2023-12-20,7,115.36
288,168,340,2023-05-03,8,309.64
289,90,144,2024-06-30,2,59.26
290,9,223,2024-05-01,1,15.64
291,187,234,2023-05-04,7,163.95
292,10,296,2024-07-25,1,25.17
293,418,149,2024-05-25,2,107.55
294,456,121,2023-06-12,7,64.24
295,447,109,2024-11-11,7,182.44
296,458,250,2023-10-02,4,128.68
297,489,301,2023-04-09,1,20.01
298,415,359,2023-12-17,3,70.52
299,131,127,2023-08-22,6,55.77
300,462,31,2023-08-23,9,304.55
301,156,302,2024-05-19,6,89.24
302,315,73,2024-07-20,5,84.75
303,464,362,2024-03-09,5,108.81
304,325,379,2024-12-02,2,41.52
305,342,256,2023-01-13,6,131.21
306,75,348,2023-11-23,6,292.89
307,377,22,2024-11-17,6,113.84
308,224,229,2023-09-27,3,53.45
309,419,203,2024-11-04,4,152.61
310,488,458,2023-09-26,3,172.31
311,236,253,2023-07-16,5,104.67
312,72,178,2024-02-16,5,130.08
313,477,346,2023-12-02,7,261.02
314,122,463,2023-03-28,4,233.84
315,164,147,2023-02-06,3,114.83
316,214,171,2023-11-21,8,369.91
317,237,174,2023-02-05,3,167.76
318,46,419,2024-11-21,4,50.43
319,374,282,2023-07-06,3,139.62
320,437,61,2024-06-17,2,75.03
321,246,214,2023-08-29,6,59.26
322,445,132,2024-08-03,7,118.79
323,131,116,2023-05-21,1,21.99
324,407,314,2023-05-01,2,118.36
325,180,416,2024-01-18,1,18.79
326,3,398,2024-09-13,2,51.56
327,395,203,2023-12-18,4,212.71
328,257,106,2024-04-18,5,157.73
329,332,493,2023-03-12,6,134.51
330,362,319,2023-11-29,9,500.91
331,85,286,2024-07-15,10,116.87
332,155,79,2024-07-12,2,43.54
333,371,64,2024-07-08,3,128.01
334,263,337,2024-03-22,5,237.38
335,360,336,2024-02-08,7,210.91
336,132,35,2024-08-26,9,377.08
337,117,2,2023-10-21,5,146.25
338,239,180,2023-04-13,5,272.94
339,436,422,2023-11-30,8,91.37
340,327,361,2024-09-17,2,67.78
341,327,373,2024-04-02,8,193.00
342,98,209,2024-10-06,1,50.73
343,139,357,2023-06-23,4,143.23
344,382,39,2023-10-11,4,72.15
345,69,360,2024-12-15,8,316.49
346,89,278,2023-01-01,2,64.94
347,275,90,2024-03-18,9,499.16
348,313,440,2023-09-02,6,350.42
349,12,23,2024-04-26,1,38.08
350,45,325,2024-11-17,10,572.95
351,359,177,2023-01-03,4,211.99
352,186,69,2024-01-29,6,301.57
353,65,148,2023-07-11,10,476.95
354,433,179,2024-10-18,8,109.44
355,179,201,2024-06-03,3,26.43
356,431,159,2024-09-13,10,467.14
357,204,438,2023-06-04,4,43.24
358,198,168,2023-12-03,3,163.28
359,460,178,2024-12-30,7,82.42
360,380,462,2023-04-01,7,113.76
361,417,275,2023-10-15,2,82.80
362,179,478,2024-06-20,2,51.77
363,169,147,2023-12-06,9,174.42
364,363,381,2024-10-31,2,46.64
365,313,434,2023-11-29,6,315.35
366,396,168,2023-06-05,10,558.41
367,48,285,2023-07-14,3,151.10
368,455,218,2024-01-15,5,291.96
369,21,293,2024-03-05,5,174.80
370,142,201,2023-09-15,10,171.97
371,1,358,2023-06-08,6,95.63
372,222,56,2024-11-12,5,85.88
373,460,5,2023-03-26,2,41.92
374,160,45,2023-11-19,2,35.89
375,228,65,2023-01-07,2,83.80
376,421,83,2023-09-16,10,363.47
377,206,413,2023-06-13,7,158.99
378,196,353,2024-05-07,3,145.05
379,159,84,2023-04-24,6,235.37
380,295,237,2024-02-12,5,125.14
381,6,206,2023-09-13,9,205.04
382,136,170,2023-08-16,8,135.30
383,300,496,2024-01-11,8,344.76
384,11,27,2024-02-11,9,347.73
385,445,128,2024-11-21,2,22.48
386,82,146,2023-02-18,10,94.61
387,239,421,2024-06-03,10,223.20
388,451,70,2023-11-07,9,187.03
389,473,367,2023-03-30,10,390.87
390,387,149,2024-09-14,3,71.12
391,103,38,2023-07-27,5,156.02
392,475,410,2024-04-14,8,178.28
393,322,436,2023-03-06,3,113.44
394,325,408,2023-12-02,6,259.11
395,202,50,2023-06-23,2,21.48
396,161,238,2024-06-13,10,345.91
397,101,144,2024-07-11,1,37.21
398,108,98,2023-04-23,8,159.38
399,44,408,2024-04-05,3,110.68
400,277,412,2023-12-03,8,325.86
401,376,181,2024-03-13,10,561.09
402,82,354,2023-01-07,10,135.74
403,140,58,2023-09-22,1,48.13
404,448,471,2024-10-11,3,62.96
405,139,105,2024-10-07,9,268.35
406,149,330,2024-01-06,7,114.72
407,96,123,2024-01-01,8,258.13
408,276,443,2024-01-17,9,378.17
409,416,49,2024-02-26,8,224.46
410,471,145,2024-03-29,2,51.04
411,185,183,2023-05-11,7,162.91
412,70,433,2023-05-23,1,45.43
413,179,214,2024-02-15,10,474.34
414,471,415,2023-04-11,4,100.51
415,425,281,2023-12-08,1,51.93
416,490,262,2023-10-26,1,22.08
417,292,227,2023-03-28,7,225.62
418,112,446,2024-06-26,10,315.28
419,202,414,2023-03-24,3,118.69
420,243,365,2024-08-27,1,12.88
421,112,498,2024-03-23,6,155.84
422,334,173,2023-06-05,5,199.40
423,259,287,2024-01-08,3,97.93
424,96,360,2024-01-15,10,514.81
425,42,71,2024-07-17,3,78.83
426,58,202,2023-01-13,1,40.60
427,246,444,2024-10-04,10,189.47
428,45,378,2023-05-16,2,51.91
429,87,455,2024-07-05,4,228.75
430,52,105,2024-05-15,3,148.75
431,187,497,2023-02-11,1,17.72
432,181,50,2023-03-05,5,121.90
433,226,375,2023-01-27,4,117.20
434,120,427,2024-01-22,2,65.74
435,1,81,2023-07-02,4,96.47
436,209,468,2024-12-07,8,403.55
437,14,80,2023-10-08,9,194.92
438,57,208,2024-06-13,2,66.27
439,449,378,2024-11-21,9,326.31
440,421,131,2024-05-27,6,97.07
441,424,245,2024-11-14,9,230.44
442,245,159,2024-10-14,4,79.44
443,185,173,2023-05-17,1,24.21
444,387,154,2023-07-26,7,212.34
445,494,27,2024-03-24,4,44.81
446,164,257,2024-07-09,5,232.56
447,184,68,2024-06-28,5,224.85
448,417,276,2023-01-15,4,106.28
449,471,487,2023-06-07,7,125.81
450,227,34,2023-04-19,8,198.23
451,340,212,2023-05-27,5,277.44
452,226,465,2024-07-31,5,189.47
453,394,496,2023-11-26,4,170.77
454,338,481,2023-08-18,2,23.24
455,50,103,2023-12-12,6,232.29
456,167,198,2024-05-07,4,239.79
457,339,39,2024-04-17,1,34.66
458,66,181,2023-10-21,5,213.09
459,332,331,2024-01-24,1,9.95
460,461,200,2024-10-24,1,14.99
461,457,226,2023-11-03,5,164.20
462,275,300,2023-01-29,2,57.39
463,171,48,2024-02-14,7,75.38
464,369,428,2024-02-13,10,537.63
465,365,111,2024-05-30,7,406.79
466,450,41,2023-04-17,3,72.53
467,314,59,2024-07-02,6,94.11
468,52,262,2023-11-22,1,39.06
469,189,25,2024-04-25,2,16.82
470,96,275,2023-06-23,9,243.26
471,25,406,2024-03-08,1,49.77
472,421,91,2024-03-03,4,204.69
473,258,153,2024-04-16,5,231.89
474,254,376,2023-12-15,4,211.78
475,54,168,2023-12-30,1,18.47
476,68,393,2024-11-21,5,233.00
477,352,418,2024-04-16,9,453.43
478,494,285,2024-12-27,5,107.35
479,189,435,2024-09-17,8,80.83
480,265,303,2023-11-29,7,366.27
481,336,69,2024-07-06,4,125.09
482,72,264,2024-01-16,10,109.19
483,80,112,2023-04-18,2,30.39
484,58,228,2023-07-24,8,210.22
485,440,409,2024-08-30,10,282.07
486,293,499,2024-06-29,4,167.15
487,21,173,2023-05-27,1,34.04
488,440,53,2023-08-08,1,41.20
489,119,169,2024-05-10,4,126.12
490,410,130,2024-11-19,2,117.27
491,347,239,2024-02-17,4,89.86
492,23,400,2024-05-31,1,20.12
493,152,213,2023-05-15,2,102.97
494,129,251,2024-06-14,1,55.21
495,165,278,2024-11-08,2,72.14
496,179,203,2024-02-23,4,166.27
497,389,162,2024-07-21,6,144.03
498,109,401,2023-07-25,5,288.29
499,223,285,2024-06-11,4,234.09
500,41,168,2023-02-12,7,61.30
